Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
Ab_511A5,-0.235,0.247,-1.201,0.628,-0.746,-0.161,1.109,-0.067,0.369,0.302,-0.013,0.267,0.253,-0.156,0.33,-0.227,0.841,0.335,0.287,0.275,-0.126,0.185,-0.588,0.424,-0.351,-0.199,0.537,-0.299,0.611,-0.065,0.116,0.695,-0.704,0.389,0.028,-0.083,0.078,-0.404,0.022,-0.324,0.361,0.844,-1.773,-0.142,-1.459,0.08,0.335,-0.203,0.46,-0.092,1
Ab_511B4,-0.14,0.229,-1.082,0.582,-0.743,-0.456,0.53,-0.82,0.473,-0.41,-0.04,0.518,-0.046,-0.066,0.111,-0.06,0.76,1.201,0.167,0.786,-0.076,0.178,-0.712,0.453,-0.426,-0.214,0.294,-1.054,0.538,-0.557,-0.29,0.622,-1.399,0.024,-0.742,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.19,0.43,-0.589,0.422,-0.299,1
Ab_511G7,-0.239,0.239,-1.156,0.706,-0.506,-0.351,0.626,1.151,0.368,0.805,-0.123,-0.093,0.104,0.178,0.107,0.205,0.489,0.081,-0.195,0.113,0.115,0.104,-0.002,0.271,0.039,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.177,0.128,-0.019,0.107,0.11,0.077,0.133,-3.05,0.66,-2.012,-0.147,0.366,-0.332,0.443,-0.252,1
Ab_51A1,-0.286,0.228,-1.022,0.756,-0.485,-0.183,0.355,0.319,0.506,0.425,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.09,0.048,-0.059,0.283,0.019,-0.247,0.207,-0.976,0.587,-0.505,-0.148,0.759,-0.994,0.24,-0.459,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.17,0.45,-0.644,0.455,-0.387,1
Ab_51D2,-0.112,0.122,-0.113,0.537,-0.08,-0.544,0.467,-1.03,0.869,-0.441,-0.161,-0.068,-0.185,0.413,-0.038,0.472,0.166,0.06,-0.505,-0.251,0.116,0.212,-0.085,0.288,-0.038,-0.185,0.293,-0.968,0.529,-0.492,-0.291,0.392,-0.861,0.131,-0.667,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.464,-0.67,0.426,-0.398,1
Ab_51D3,-0.286,0.228,-1.022,0.756,-0.485,-0.28,0.701,0.001,0.49,0.01,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.081,-0.024,0.047,0.307,0.085,-0.225,0.261,-1.273,0.501,-0.733,0.482,0.344,0.194,-0.258,-0.15,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.144,0.446,-0.375,0.408,-0.24,1
Ab_51D4,-0.15,0.088,-0.299,0.626,-0.172,-0.551,0.519,-0.766,0.385,-0.204,0.01,-0.091,0.044,0.356,0.142,0.586,0.054,-1.995,-0.314,-1.824,0.016,0.168,-0.094,0.296,-0.118,-0.179,0.331,-0.975,0.513,-0.484,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_51D7,0.05,0.074,-0.951,0.457,-0.564,-0.28,0.617,0.083,-0.193,-0.018,-0.179,0.062,0.717,0.082,0.602,0.263,0.624,-1.239,0.097,-1.266,-0.107,0.171,-0.858,0.284,-0.482,-0.201,0.265,-1.093,0.539,-0.543,-0.203,0.812,-3.319,0.428,-1.937,0.161,0.072,0.003,0.051,0.235,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_51E10,-0.033,0.037,-1.228,0.554,-0.623,-0.369,0.828,0.42,0.219,0.386,-0.18,0.115,-0.109,0.05,-0.02,0.058,0.436,-0.11,0.499,0.003,0.069,0.128,-0.403,0.35,-0.163,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
Ab_51E12,-0.286,0.228,-1.022,0.756,-0.485,-0.183,0.323,0.555,0.121,0.557,-0.055,-0.017,-0.142,0.26,-0.0,0.644,0.006,-0.677,0.113,-0.3,0.145,0.075,-0.09,0.278,0.022,-0.138,0.417,-1.018,0.608,-0.405,-0.065,1.209,-2.141,0.167,-1.261,0.054,0.042,-0.15,0.217,0.025,-0.47,-0.402,-2.075,1.27,-0.98,-0.149,0.384,-0.52,0.429,-0.219,1
Ab_51E7,-0.286,0.228,-1.022,0.756,-0.485,-0.05,0.52,0.413,0.07,0.095,-0.092,-0.02,0.03,0.181,0.229,-0.23,0.344,0.69,0.801,0.597,0.062,0.183,0.109,0.328,0.266,-0.231,0.356,-1.038,0.576,-0.524,-0.291,0.392,-0.861,0.131,-0.667,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.17,0.376,-0.56,0.448,-0.362,1
Ab_52C6,-0.019,0.145,-1.389,0.518,-0.723,-0.324,0.671,-0.049,0.584,0.241,-0.168,0.212,-0.07,0.237,0.112,-0.693,0.066,1.183,0.591,0.587,0.05,-0.008,-0.124,0.371,-0.148,-0.334,0.453,-0.637,0.655,-0.475,-0.333,0.913,-0.88,0.488,-0.588,0.076,0.482,-0.273,0.185,-0.129,0.176,0.935,1.614,0.595,1.437,-0.008,0.26,-0.55,0.484,-0.238,1
Ab_52F7,-0.209,0.159,-1.015,0.732,-0.452,-0.381,0.044,0.686,0.359,0.133,-0.079,0.083,-0.196,0.152,0.07,-0.329,0.472,-0.454,-0.075,-0.116,0.067,0.018,-0.119,0.307,0.039,-0.303,0.37,-1.181,0.568,-0.7,0.253,0.981,-2.067,0.172,-1.367,0.206,0.298,-0.301,0.104,0.084,0.089,0.186,-1.59,0.545,-0.754,-0.05,0.374,-0.38,0.362,-0.273,1
Ab_52G9,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.067,0.084,-0.039,0.286,0.0,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.165,0.387,-0.253,0.411,-0.225,1
Ab_53H3,-0.286,0.228,-1.022,0.756,-0.485,-0.28,0.701,0.001,0.49,0.01,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.225,0.261,-1.273,0.501,-0.733,0.075,0.202,-1.017,-0.044,-0.93,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.132,0.411,-0.25,0.425,-0.212,1
Ab_55C9,-0.286,0.228,-1.022,0.756,-0.485,-0.28,0.701,0.001,0.49,0.01,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.049,0.063,-0.072,0.265,0.018,-0.201,0.265,-1.093,0.539,-0.543,0.269,0.526,0.01,-0.103,-0.051,0.144,0.168,-0.031,0.114,0.089,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.464,-0.67,0.426,-0.398,1
Ab_56C12,-0.181,0.185,-1.355,0.654,-0.719,-0.376,0.76,0.279,0.338,0.31,-0.156,-0.189,-0.069,0.217,0.022,0.251,0.663,-0.598,0.154,-0.195,0.104,0.112,-0.022,0.263,0.019,-0.201,0.265,-1.093,0.539,-0.543,0.172,0.474,-0.966,0.139,-0.32,0.144,0.168,-0.031,0.114,0.089,-0.591,-1.302,-0.733,1.57,-0.146,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_56D7,-0.286,0.228,-1.022,0.756,-0.485,-0.293,0.734,-0.334,0.596,-0.249,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.06,0.063,-0.218,0.305,-0.075,-0.247,0.207,-0.976,0.587,-0.505,-0.148,0.759,-0.994,0.24,-0.459,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
Ab_56E1,-0.239,0.239,-1.156,0.706,-0.506,-0.402,0.391,0.021,0.404,0.034,-0.295,-0.138,-0.045,0.187,0.095,0.468,0.275,-0.58,0.038,-0.558,-0.035,0.348,-0.205,0.42,-0.075,-0.183,0.682,-1.295,0.591,-0.624,-0.081,1.045,-1.623,0.473,-0.73,-0.065,0.144,0.364,-0.011,0.119,0.554,1.018,-0.721,0.111,-0.26,0.039,0.391,-1.13,0.448,-0.599,1
Ab_57A6,0.086,0.059,-0.809,0.466,-0.424,-0.244,0.732,0.348,-0.114,0.167,-0.179,0.062,0.717,0.082,0.602,0.164,0.69,-0.395,0.025,-0.671,-0.089,0.234,-0.829,0.309,-0.464,-0.135,0.145,-0.992,0.582,-0.664,0.097,0.569,-0.555,0.228,-0.047,-0.106,0.182,-0.602,0.25,-0.432,0.797,0.64,1.054,0.2,1.548,0.027,0.398,-0.725,0.5,-0.358,1
Ab_57A9,-0.042,0.055,-1.083,0.519,-0.554,-0.219,0.434,1.044,0.379,0.667,-0.034,-0.092,0.083,-0.111,0.18,0.095,0.737,1.639,0.474,1.296,0.077,0.064,-0.076,0.334,-0.16,-0.165,0.119,-0.859,0.516,-0.498,0.783,0.692,0.461,-0.159,0.552,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.119,0.308,-0.525,0.511,-0.353,1
Ab_57C4,-0.25,0.212,-0.881,0.765,-0.345,-0.387,0.351,-0.396,0.108,-0.225,-0.008,0.105,-0.009,0.265,0.245,-0.046,0.428,0.544,0.494,0.505,0.122,0.089,-0.073,0.327,-0.001,-0.201,0.265,-1.093,0.539,-0.543,0.172,0.474,-0.966,0.139,-0.32,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_57E11,-0.033,0.037,-1.228,0.554,-0.623,-0.014,0.634,0.678,0.15,0.28,-0.124,-0.022,0.474,0.03,0.35,0.121,0.387,0.304,0.119,0.165,0.062,0.02,0.25,0.34,0.271,-0.159,0.687,-1.115,0.628,-0.434,-0.056,0.91,-0.751,0.502,-0.235,-0.1,0.155,-0.04,0.267,-0.06,0.945,0.828,1.299,-0.169,0.933,0.025,0.407,-1.349,0.49,-0.715,1
Ab_57F7,-0.19,-0.077,-1.041,0.433,-0.577,-0.422,0.876,-0.256,0.563,0.239,-0.047,0.144,0.445,0.181,0.301,0.134,0.615,0.072,0.311,0.223,-0.054,0.197,-0.763,0.448,-0.43,-0.183,0.682,-1.295,0.591,-0.624,-0.183,0.667,0.11,0.468,0.198,-0.099,0.178,0.159,0.169,0.018,0.554,1.018,-0.721,0.111,-0.26,0.039,0.391,-1.13,0.448,-0.599,1
Ab_57G9,-0.15,0.088,-0.299,0.626,-0.172,-0.551,0.519,-0.766,0.385,-0.204,-0.001,-0.028,-0.366,0.342,-0.091,0.6,0.016,-1.613,-0.435,-1.527,0.027,0.135,0.024,0.312,-0.091,-0.201,0.265,-1.093,0.539,-0.543,0.172,0.474,-0.966,0.139,-0.32,0.243,0.226,-0.267,0.073,0.029,-0.719,-0.061,-2.012,1.161,-1.352,-0.178,0.494,-0.7,0.451,-0.381,1
Ab_58G1,-0.282,0.217,-0.915,0.722,-0.402,-0.183,0.355,0.319,0.506,0.425,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.214,0.294,-1.054,0.538,-0.557,0.272,-0.01,-1.239,-0.391,-0.679,0.074,0.028,0.075,0.158,0.148,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_803,-0.221,0.188,-0.977,0.731,-0.466,-0.082,0.116,0.297,0.172,-0.115,0.046,-0.08,0.225,0.13,0.352,-0.204,-0.016,-0.49,0.692,-0.015,0.041,0.001,-0.212,0.364,-0.002,-0.215,0.241,-1.095,0.628,-0.543,0.036,0.616,0.329,0.215,0.305,0.168,0.033,-0.02,0.131,-0.015,-0.47,-0.402,-2.075,1.27,-0.98,-0.22,0.47,-0.948,0.444,-0.546,1
Ab_81C3,-0.151,0.191,-1.067,0.544,-0.658,-0.273,1.168,-1.549,0.501,-0.734,-0.059,0.463,0.152,0.067,0.285,-0.199,0.688,1.332,0.321,0.84,-0.104,0.186,-0.801,0.452,-0.465,-0.273,0.551,-1.124,0.621,-0.555,-0.005,0.957,-0.396,0.285,-0.19,0.041,0.138,-0.286,-0.048,-0.077,-0.106,0.116,-0.662,0.63,-1.064,0.074,0.306,-0.593,0.458,-0.281,1
Ab_81C8,-0.239,0.239,-1.156,0.706,-0.506,-0.376,0.76,0.279,0.338,0.31,-0.156,-0.189,-0.069,0.217,0.022,0.039,0.592,0.085,-0.044,0.254,0.11,0.049,-0.271,0.23,-0.119,-0.201,0.265,-1.093,0.539,-0.543,-0.089,0.538,-0.847,0.217,-0.584,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
Ab_81E1,-0.01,0.148,-0.852,0.623,-0.275,-0.08,0.452,-0.935,0.615,-0.626,-0.088,0.098,0.163,0.174,0.347,0.295,-0.013,-0.504,0.354,-0.948,0.052,-0.127,0.045,0.353,-0.136,-0.183,0.578,-1.337,0.55,-0.637,-0.004,0.67,-0.488,0.343,-0.116,-0.081,0.269,-0.34,0.244,-0.23,-0.101,0.413,-1.655,0.589,-0.875,0.127,0.394,-0.818,0.46,-0.355,1
Ab_82F6,-0.239,0.239,-1.156,0.706,-0.506,-0.155,0.578,1.062,0.309,1.003,-0.165,0.016,-0.167,0.319,0.027,0.106,0.187,-0.693,0.266,-0.811,0.167,0.127,-0.354,0.24,-0.152,-0.179,0.238,-1.031,0.468,-0.589,0.286,0.439,-0.816,-0.118,-0.747,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.132,0.411,-0.25,0.425,-0.212,1
B07,-0.033,0.037,-1.228,0.554,-0.623,-0.124,0.452,2.129,0.028,1.184,-0.185,-0.024,0.159,0.072,0.19,-0.17,1.099,-0.356,0.623,0.063,0.054,-0.001,0.148,0.326,0.112,-0.201,0.265,-1.093,0.539,-0.543,0.243,0.569,1.025,-0.04,0.734,0.078,0.017,-0.458,0.201,-0.099,-0.47,-0.402,-2.075,1.27,-0.98,-0.167,0.466,-0.865,0.429,-0.532,1
B1011,-0.033,0.037,-1.228,0.554,-0.623,-0.264,0.591,1.512,0.013,0.812,-0.114,0.027,0.164,0.103,0.219,0.07,0.859,0.003,0.271,-0.08,0.02,0.045,-0.276,0.356,-0.163,-0.225,0.261,-1.273,0.501,-0.733,0.368,0.344,0.494,-0.369,-0.054,0.122,0.002,-0.147,0.134,0.066,-0.26,-0.516,-0.753,0.568,-0.857,-0.132,0.411,-0.25,0.425,-0.212,1
B1012,-0.033,0.037,-1.228,0.554,-0.623,-0.264,0.591,1.512,0.013,0.812,-0.114,0.027,0.164,0.103,0.219,0.07,0.859,0.003,0.271,-0.08,0.02,0.045,-0.276,0.356,-0.163,-0.225,0.261,-1.273,0.501,-0.733,0.261,0.481,0.199,-0.055,0.038,0.122,0.002,-0.147,0.134,0.066,0.077,0.133,-3.05,0.66,-2.012,-0.184,0.193,-0.553,0.495,-0.395,1
B1030,-0.045,0.057,-1.189,0.583,-0.573,-0.113,0.7,1.522,0.078,0.874,-0.151,-0.082,0.164,-0.01,0.213,-0.08,0.758,-0.586,0.59,-0.194,-0.012,0.126,-0.363,0.345,-0.271,-0.183,0.682,-1.295,0.591,-0.624,-0.029,1.13,-1.231,0.441,-0.573,-0.117,0.184,0.017,0.309,0.013,0.554,1.018,-0.721,0.111,-0.26,0.039,0.391,-1.13,0.448,-0.599,1
B1032,-0.131,0.153,-0.927,0.673,-0.479,-0.202,-0.281,0.788,0.273,0.049,-0.079,0.083,-0.196,0.152,0.07,-0.387,0.598,-0.302,0.329,-0.202,0.06,0.167,0.148,0.23,0.163,-0.161,0.33,-0.32,0.585,-0.199,0.037,0.546,-0.547,0.454,-0.386,-0.111,0.118,-0.486,0.225,-0.264,0.624,0.668,-4.024,0.051,-3.044,-0.015,0.304,0.153,0.518,0.162,1
B1034,-0.019,0.145,-1.389,0.518,-0.723,-0.154,0.457,2.159,0.127,1.234,-0.12,0.043,0.006,0.153,0.097,0.181,0.685,-0.092,0.258,0.009,0.001,0.086,-0.233,0.337,-0.174,-0.225,0.261,-1.273,0.501,-0.733,0.368,0.344,0.494,-0.369,-0.054,0.122,0.002,-0.147,0.134,0.066,-0.26,-0.516,-0.753,0.568,-0.857,-0.132,0.4,-0.345,0.471,-0.248,1
B2014,-0.032,0.029,-1.228,0.584,-0.559,0.032,0.541,0.192,-0.148,0.106,-0.115,-0.009,0.339,0.067,0.273,-0.26,0.927,0.037,0.752,0.47,0.013,0.153,0.013,0.255,-0.051,-0.224,0.604,-1.02,0.58,-0.486,-0.067,0.571,0.25,0.485,0.296,-0.175,0.012,-0.364,0.273,-0.289,0.98,0.653,-0.353,-0.199,-0.459,0.035,0.314,-0.705,0.489,-0.343,1
B2064,-0.054,0.201,-1.358,0.522,-0.751,-0.236,0.51,1.514,0.57,1.138,-0.173,0.205,-0.195,0.315,-0.101,-0.486,-0.028,-0.12,0.863,-0.056,0.066,0.125,-0.18,0.314,-0.113,-0.201,0.265,-1.093,0.539,-0.543,-0.138,0.761,-2.455,0.319,-1.591,0.196,0.086,-0.076,0.108,0.131,-0.719,-0.061,-2.012,1.161,-1.352,-0.175,0.48,-0.838,0.449,-0.497,1
B38,-0.286,0.228,-1.022,0.756,-0.485,-0.402,0.587,-0.039,0.327,-0.102,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.105,0.066,0.025,0.239,0.131,-0.323,0.182,-0.728,0.566,-0.397,-0.148,0.759,-0.994,0.24,-0.459,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
BA.2-10,-0.239,0.2,-1.008,0.719,-0.496,-0.044,-0.103,0.939,0.218,0.186,-0.051,0.324,-0.192,0.083,-0.024,-0.4,0.699,-0.84,0.193,-0.437,0.05,0.087,-0.331,0.352,-0.09,-0.135,0.169,-1.088,0.603,-0.509,0.073,0.504,-1.249,0.149,-0.964,0.144,0.168,-0.031,0.114,0.089,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
BA.2-13,-0.267,0.263,-1.06,0.74,-0.386,-0.227,0.035,1.483,0.025,1.035,0.061,0.071,0.347,0.215,0.456,0.383,0.171,0.52,0.485,0.464,0.112,-0.037,-0.302,0.301,-0.212,-0.207,0.276,-0.849,0.554,-0.354,-0.3,0.301,-1.048,0.29,-0.768,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.138,0.42,-0.751,0.449,-0.378,1
BA.2-23,-0.255,0.314,-1.105,0.66,-0.598,-0.365,0.352,1.369,0.493,0.628,-0.191,-0.196,0.114,0.211,0.043,-0.319,0.959,0.083,0.556,0.354,0.059,0.08,-0.062,0.232,0.041,-0.197,0.255,-0.986,0.505,-0.459,0.63,0.112,0.066,-0.276,-0.031,0.196,0.086,-0.076,0.108,0.131,0.077,0.133,-3.05,0.66,-2.012,-0.099,0.395,-0.082,0.402,-0.112,1
BA2.07,-0.021,0.058,-1.172,0.558,-0.782,-0.359,1.111,-0.773,0.707,-0.003,-0.224,0.098,-0.18,0.249,-0.083,-0.425,0.486,0.829,0.512,0.581,0.036,0.018,-0.096,0.36,-0.127,-0.177,0.27,-0.913,0.577,-0.353,-0.122,0.717,-2.01,0.177,-1.244,0.177,0.128,-0.019,0.107,0.11,-0.401,0.583,-1.388,1.095,-0.243,-0.143,0.433,-0.627,0.415,-0.294,1
BD-196,-0.033,0.037,-1.228,0.554,-0.623,-0.219,0.434,1.044,0.379,0.667,-0.0,-0.15,0.088,-0.194,0.204,0.026,0.533,1.271,0.557,1.114,0.08,0.077,-0.224,0.372,-0.064,-0.303,0.37,-1.181,0.568,-0.7,0.269,0.889,-0.079,0.226,-0.011,0.206,0.298,-0.301,0.104,0.084,0.089,0.186,-1.59,0.545,-0.754,0.009,0.372,-0.357,0.433,-0.187,1
BD-254,-0.273,0.199,-1.061,0.757,-0.471,-0.403,0.341,-0.403,0.612,-0.131,-0.141,0.046,-0.442,0.351,-0.138,-0.401,1.15,-1.078,0.912,-0.212,0.11,0.029,0.043,0.199,0.1,-0.318,0.424,-0.742,0.734,-0.497,-0.266,0.465,0.275,0.564,0.459,0.14,0.312,0.019,0.053,0.07,0.263,0.676,-2.068,0.44,-1.525,0.026,0.086,-0.399,0.418,-0.123,1
BD-319,-0.282,0.217,-0.915,0.722,-0.402,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.124,0.085,-0.027,0.271,0.048,-0.273,0.551,-1.124,0.621,-0.555,-0.13,0.727,-1.584,0.477,-0.983,0.041,0.138,-0.286,-0.048,-0.077,-0.069,-0.111,-1.276,0.675,-1.582,0.088,0.331,-0.619,0.447,-0.212,1
BD-320,-0.14,0.229,-1.082,0.582,-0.743,-0.271,1.077,-0.412,0.352,0.003,-0.022,0.414,0.256,-0.044,0.253,-0.227,0.841,0.335,0.287,0.275,-0.019,0.179,-0.701,0.438,-0.378,-0.168,0.41,-0.565,0.373,-0.323,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
BD-362,-0.041,0.046,-1.082,0.549,-0.49,-0.175,0.61,1.823,0.356,1.592,-0.213,0.112,0.313,0.045,0.147,-0.117,0.777,0.345,0.448,0.332,0.02,-0.024,0.353,0.237,0.161,-0.191,0.087,-0.56,0.626,-0.369,0.466,0.424,-0.702,0.252,-0.166,0.03,0.029,-0.504,0.289,-0.187,0.077,0.133,-3.05,0.66,-2.012,-0.13,0.359,-0.2,0.522,-0.03,1
BD-368,-0.286,0.228,-1.022,0.756,-0.485,-0.353,0.122,1.764,0.463,1.024,-0.072,0.013,-0.085,0.302,0.073,-0.279,0.744,-1.735,0.726,-0.798,0.124,0.085,-0.027,0.271,0.048,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.036,0.327,-0.276,0.484,-0.101,1
BD-368-2,-0.286,0.228,-1.022,0.756,-0.485,-0.423,-0.081,1.396,0.546,0.842,-0.072,0.013,-0.085,0.302,0.073,-0.298,0.776,-0.973,0.772,-0.209,0.124,0.085,-0.027,0.271,0.048,-0.234,0.431,-0.9,0.525,-0.595,0.3,1.061,0.894,-0.05,0.718,0.003,0.211,-0.932,0.127,-0.618,-0.544,0.688,-1.645,0.994,-0.498,-0.036,0.327,-0.276,0.484,-0.101,1
BD-380,-0.019,0.145,-1.389,0.518,-0.723,-0.324,0.671,-0.049,0.584,0.241,-0.168,0.212,-0.07,0.237,0.112,-0.693,0.066,1.183,0.591,0.587,0.035,-0.014,-0.089,0.345,-0.101,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.136,0.081,-0.215,0.19,-0.119,0.111,1.293,-0.71,0.515,0.117,0.035,0.314,-0.705,0.489,-0.343,1
BD-395,-0.282,0.217,-0.915,0.722,-0.402,-0.223,0.444,0.439,0.503,0.381,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.09,0.048,-0.059,0.283,0.019,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.167,0.119,-0.538,0.197,-0.114,0.077,0.133,-3.05,0.66,-2.012,-0.186,0.36,-0.328,0.465,-0.263,1
BD-417,-0.286,0.228,-1.022,0.756,-0.485,-0.251,0.696,-0.029,0.391,-0.04,-0.099,0.043,-0.131,0.24,-0.066,-0.319,0.959,0.083,0.556,0.354,0.13,0.073,-0.123,0.294,0.003,-0.273,0.551,-1.124,0.621,-0.555,-0.108,0.608,-0.81,0.504,-0.543,0.041,0.138,-0.286,-0.048,-0.077,-0.069,-0.111,-1.276,0.675,-1.582,0.088,0.331,-0.619,0.447,-0.212,1
BD-418,-0.157,0.28,-1.261,0.557,-0.784,-0.136,0.629,-0.68,0.399,-0.411,0.008,0.163,0.215,0.099,0.407,-0.241,0.616,1.205,0.571,0.812,-0.138,0.234,-0.643,0.462,-0.428,-0.201,0.265,-1.093,0.539,-0.543,-0.05,-0.297,-0.657,0.243,-0.295,0.168,0.179,-0.285,0.216,0.05,-0.284,0.141,-1.093,1.049,-0.493,-0.144,0.537,-0.541,0.401,-0.299,1
BD-421,-0.019,0.145,-1.389,0.518,-0.723,-0.254,0.874,0.319,0.501,0.423,-0.055,0.111,-0.06,0.201,0.161,-0.845,-0.093,0.748,0.734,0.36,0.063,0.016,-0.149,0.361,-0.083,-0.228,0.615,-1.127,0.614,-0.569,0.042,0.627,0.149,0.365,0.254,-0.136,0.081,-0.215,0.19,-0.119,-0.141,0.292,0.989,0.66,0.328,0.015,0.294,-0.65,0.455,-0.255,1
BD-503,-0.282,0.217,-0.915,0.722,-0.402,-0.404,0.537,-0.464,0.535,-0.268,-0.168,0.077,-0.488,0.29,-0.277,-0.34,0.51,0.139,0.809,0.464,0.107,0.107,-0.074,0.321,0.063,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
BD-508,-0.286,0.228,-1.022,0.756,-0.485,-0.402,0.587,-0.039,0.327,-0.102,-0.156,0.014,-0.077,0.304,-0.044,-0.319,0.959,0.083,0.556,0.354,0.038,-0.009,-0.039,0.263,0.074,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.122,0.002,-0.147,0.134,0.066,-0.47,-0.402,-2.075,1.27,-0.98,-0.149,0.421,-0.649,0.465,-0.356,1
